"","name","desc","langCat"
"323","Nahdonnis Praji","Imperial Navy officer who served as Darth Vader's aide aboard the Star Destroyer Devastator in A New Hope. He reports to Vader regarding the status of the stolen Death Star plans. Many years later, following Emperor Palpatine's resurrection, he becomes Governor of the planet Kaikielius.","slovenian-iso8859_2"
"324","PROXY","Starkiller's personal holodroid; Starkiller used PROXY for training and for sending and receiving messages. Despite PROXY and Starkiller's friendship, PROXY would routinely attempt to kill Starkiller on a regular basis, as it was his primary directive.","slovak-windows1250"
"325","Pugwis","He is grandson of legendary podracing champion Sebulba.","middle_frisian"
"326","Ulic Qel-Droma","Jedi/Sith in the Tales of the Jedi series.","bosnian"
"327","Ooryl Qrygg","A Gand member of Rogue Squadron in Michael A. Stackpole's X-Wing series.","welsh"
"328","Ben Quadrinaros","One of the pod-racers in The Phantom Menace. He and Anakin Skywalker's pod-racers are the only ones that do not take off. His pod explodes after having trouble with its power couplings.","catalan"
"329","Danni Quee","New Jedi Order scientist whose research helps in the fight against the Yuuzhan Vong in the New Jedi Order series.","middle_frisian"
"330","Sarcev Quest","Former Jedi initiate who later became Supreme Chancellor Palpatine's personal spy, and later, one of the very first Emperor's Hands following the rise of the Galactic Empire.","catalan"
"331","Malavai Quinn","The second companion that the Sith Warrior gains in the MMORPG Star Wars The Old Republic This character is also romance-able.","finnish"
"332","R4-P17","Astromech droid that accompanies Obi-Wan Kenobi on his mission to Kamino in Star Wars Episode II: Attack of the Clones. Decapitated by Buzz Droids in Star Wars Episode III: Revenge of the Sith.","slovak-windows1250"
"333","R2-D2","Astromech droid that appears in all six Star Wars films and in the Star Wars Expanded Universe.","indonesian"
"334","R2-Q5","A black R2 unit droid (resembling a black R2-D2) that first appears briefly on the second Death Star in Return of the Jedi.","slovak-windows1250"
"335","R3-S6","Features in Star Wars: The Clone Wars as a replacement Astromech droid for Anakin when R2 is lost. He is later shown as a spy working for General Grievous. He is soon after destroyed by R2-D2 himself.","slovak-windows1250"
"336","R4-P44","Astromech droid stationed on the second Death Star (Appears in episode VI: Return of the Jedi)","slovak-windows1250"
"337","R5-D4","Astromech droid originally sold to Owen Lars on Tatooine before it malfunctioned.","indonesian"
"338","R5-J2","An Imperial astromech droid that briefly appears on board the second Death Star in Episode VI: Return of the Jedi.","indonesian"
"339","R4-G9","The Astromech droid that replaced R4-P17 in Star Wars Episode III: Revenge of the Sith.","slovak-windows1250"
"340","Vuffi Raa","Lando Calrissian's droid companion in The Adventures of Lando Calrissian.","slovak-windows1250"
"341","Ahri Raas","A Keshiri male. Childhood friend of Vestara Khai.","scots"
"342","Rabé","Handmaiden to Queen Amidala seen in The Phantom Menace.","slovak-windows1250"
"343","Marka Ragnos","Dark Lord of the Sith who lived during the time of the first Sith Empire. Following his death, he lived on as a force ghost and decreed that only the most worthy could succeed him as Dark Lord of the Sith.","tagalog"
"344","Qu Rahn","Jedi Master killed by Jerec in Star Wars: Jedi Knight: Dark Forces II; his ghost appears to and guides Kyle Katarn later in the game, offering guidance.","indonesian"
"345","Dak Ralter","Luke Skywalker's snowspeeder gunner in The Empire Strikes Back. The character's first name appears often misspelled as Dack, however the form Dak is used in the movie credits, and considered correct according to Lucasfilm continuity.","indonesian"
"346","Oppo Rancisis","Thisspiasian Jedi Master and Jedi Council member in the prequel trilogy, master of Battle Meditation.","portuguese"
"347","Rappertunie","Shawda Ubb Growdi player for the Max Rebo Band in the Special Edition of Return of the Jedi.","romanian"
"348","Max Rebo","Leader of the Max Rebo Band in Return of the Jedi.","slovak-windows1250"
"349","Dash Rendar","A smuggler developed for the Shadows of the Empire multimedia project, prominently appearing as the protagonist of the Shadows of the Empire video game.","indonesian"
"350","Gualt Rennow","The second companion that the Bounty Hunter in SWTOR gains.","breton"
"351","Ree-Yees","A three-eyed alien seen in the background at Jabba's Palace in the film Return of the Jedi. The character's backstory is that he is a banished Gran convicted of murder on his homeworld, Kinyen. Ree-Yees expatriated to Tatooine, where he established himself in Jabba's Palace. Later, Ree-Yees plotted to assassinate Jabba the Hutt for the Galactic Empire, in exchange for a retraction of his murder sentence.","scots"
"352","Revan","A Jedi Knight turned Sith Lord who was betrayed by his own apprentice, Darth Malak. He later returns to the Jedi Order and seeks out and destroys the Star Forge. He is the main protagonist of Star Wars: Knights of the Old Republic.","dutch"
"353","Captain Rex","Anakin Skywalker's second in command and captain of 501st in the Clone Wars series.","french"
"354","General Carlist Rieekan","Rebel commanding officer on Hoth in The Empire Strikes Back.","indonesian"
"355","Rogue Squadron","Rebel Alliance and New Republic starfighter pilots featured in the original trilogy and Expanded Universe.","spanish"
"356","Rookie One","The player's character in Rebel Assault and Rebel Assault II.","slovak-windows1250"
"357","Rotta the Hutt","Jabba the Hutt's son. Kidnapped by Count Dooku in The Clone Wars animated film.","scots"
"358","Darth Ruin","Umbaran Sith Lord during the New Sith Wars.","irish"
"359","Rukh","Noghri who assassinates Grand Admiral Thrawn in The Last Command.",NA
"360","Sabé","One of Padmé Amidala's handmaidens in The Phantom Menace. Sabé is the queen's decoy; for parts of the movie, the Sabé character is addressed as Amidala. Knightley was cast as Sabé due to her striking resemblance to Natalie Portman, who portrayed Padmé Amidala.","czech-iso8859_2"
"361","Saché","One of the youngest of the five handmaidens of Queen Padmé Amidala of Naboo in The Phantom Menace.","irish"
"362","Naga Sadow","Dark side magician and Dark Lord of the Sith during the first Sith Empire. He attempted to conquer the Republic, but ultimately failed after he was betrayed by Gav Daragon. He entered stasis on Yavin 4, and was reawakened 600 years later by Freedon Nadd, who killed him after his training was finished.","tagalog"
"363","Sage-Boneria","Young female briefly mentioned in the books as the first Twi'lek Jedi.","indonesian"
"364","Sarkli","Former Rebel pilot who defected to the Empire, where he served on the second Death Star and participated in the Battle of Endor. He is Admiral Piett's nephew.","slovak-ascii"
"365","Admiral Sarn","Leader of the Phantom TIE program in Star Wars: Rebel Assault II: The Hidden Empire.","indonesian"
"366","Queen Miraj Scintel","Queen of Zygerria, member of the Separatist Council. She captured Anakin, Obi-Wan, and Ahsoka and attempted to auction them off as slaves; however, they were rescued by clone troopers, and she was Force-choked to death by Count Dooku for her failure.","esperanto"
"367","Saba Sebatyne","A female Barabel who joined Luke Skywalker's reformed Jedi Order, as a Jedi Knight she served in the Yuuzhan Vong War, fighting in several important campaigns against the Yuuzhan Vong invaders. After the war she was promoted to the rank of Jedi Master. During the Dark Nest Crisis about 10 years after the Yuuzhan Vong War she took Leia Organa Solo as her apprentice. After the Second Galactic Civil War Natasi Daala became Chief of State of the Galactic Alliance, Daala, a former admiral of the Imperial Navy, fostered widespread Anti-Jedi sentiment, and had Grand Master Luke Skywalker exiled from the Jedi Order and made Kenth Hamner Grand Master in his stead.","indonesian"
"368","Sebulba","Podracer who competes against Anakin Skywalker in The Phantom Menace. Sebulba was once a slave, but his podracing skills bought his freedom.","indonesian"
"369","Aayla Secura"," Twi'lek Jedi who appears in Attack of the Clones, Revenge of the Sith, Dark Horse Comics' Republic and Clone Wars series, and The Clone Wars television series.","catalan"
"370","Moff Kohl Seerdon","The main antagonist in Star Wars: Rogue Squadron.","middle_frisian"
"371","Zev Senesca","A Rogue Squadron pilot in The Empire Strikes Back.","romanian"
"372","Shedao Shai","A supreme commander and the advance leader for the Yuuzhan Vong invasion of the Star Wars galaxy at the beginning of The New Jedi Order series. Corran Horn defeats Shai in a duel.","scots_gaelic"
"373","Bastila Shan","Love interest of Revan; she rescues him after Darth Malak destroys his ship. Prominently featured in Star Wars: Knights of the Old Republic. She is the ancestor of future Jedi Grand Master Satele Shan.","indonesian"
"374","Satele Shan","Grand Master of the Jedi Order in Star Wars The Old Republic, a newly released video game.","norwegian"
"375","Echuu Shen-Jon","Former Padawan to Mace Windu who served as a Jedi General during the Clone Wars. Went into hiding after Order 66 was given, and re-emerged during the Galactic Civil War to fight for the Rebel Alliance.","german"
"376","Garris Shrike","Corellian criminal and former bounty hunter who raised Han Solo.","middle_frisian"
"377","Darth Sidious","Palpatine's Sith alter ego.","irish"
"378","Sifo-Dyas","Jedi master who was impersonated by Count Dooku to order the creation of the clone trooper army in the prequel trilogy.","indonesian"
"379","Aurra Sing","Bounty hunter in The Phantom Menace and The Clone Wars.","tagalog"
"380","Darth Sion","One of the three concurrent Dark Lords of the Sith in Star Wars: Knights of the Old Republic II – The Sith Lords.","english"
"381","Kal Skirata","Mandalorian mercenary hired to train clone commandos on Kamino. Skirata trained squads like Theta and Omega squads. Unlike Walon Vau, Skirata is not physically violent, almost the opposite. However Skirata is not an all-kind man. Read the books and see: featured in Star Wars-Republic Commando: Triple Zero; Star Wars- Republic Commando: True Colors; Star Wars-Republic Commando: Order 66 and Star Wars- Imperial Commando: 501st Legion.","indonesian"
"382","Anakin Skywalker","Jedi whose fall and redemption are portrayed in the Star Wars films. His master was Obi-Wan Kenobi. Was married to Padmé Amidala; father of Luke and Leia. He is an excellent Pod Racer and he is the Chosen One. Known as Darth Vader after his fall to the dark side.","tagalog"
"383","Ben Skywalker","Luke Skywalker's and Mara Jade Skywalker's son. Jedi Knight. Former student of Jacen Solo, his cousin. Former GAG (Galactic Alliance Guard) member. In Fate of the Jedi: Outcast, he voluntarily accompanies his father into exile. He proves himself as both a fighter and as an investigator. His love interest is Vestara Khai [Sith Aprentice in Abyss-Conviction] [Jedi Aprentice Ascension] [Sith Lady Apocalypse]","middle_frisian"
"384","Cade Skywalker","Descendant of Luke and Mara Jade Skywalker and protagonist of the Star Wars: Legacy comic series. Allegedly had the power to bring back the dead (Suspicion of Darth Krayt).","middle_frisian"
"385","Kol Skywalker","Father of Cade Skywalker. Member of the Jedi Council during the Star Wars: Legacy comic series.","middle_frisian"
"386","Luke Skywalker","Anakin Skywalker's and Padmé Amidala's son and Leia Organa's twin. Jedi whose coming of age and rise as a Jedi are portrayed in the original Star Wars trilogy and Star Wars Expanded Universe. Luke re-establishes the Jedi Order. Husband of Mara Jade, father of Ben Skywalker, ancestor of Cade Skywalker.","middle_frisian"
"387","Luuke Skywalker","A clone of Luke Skywalker, created by Joruus C'baoth in the Thrawn Trilogy. Luuke was chosen by UGO Network's Adam Rosenburg as the worst Star Wars Expanded Universe character, heavily criticising his name and calling him a ""stupid clone"".","middle_frisian"
"388","Shmi Skywalker","Anakin Skywalker's mother who is always supportive of her son. She, too, is a slave. Qui-Gon attempts to bargain for her freedom but fails. Anakin finds it hard to leave Tattooine without her. She dies in his arms after being kidnapped and tortured by Tusken Raiders in Attack of the Clones.","indonesian"
"389","Sy Snootles","Lead vocalist of the Max Rebo Band in Return of the Jedi..","scots"
"390","Osi Sobeck","Phidian CIS commander who served as the warden of the prison known as ""The Citadel"" on the planet Lola Sayu.","czech-iso8859_2"
"391","Anakin Solo","Youngest son of Han and Leia Organa Solo.","tagalog"
"392","Allana Solo","Jacen Solo's and Tenel Ka's daughter in the Legacy of the Force series. Adopted by Han Solo and Leia Organa-Solo at the end of Invincible and given the name Amelia in public to keep her true parentage a secret.","tagalog"
"393","Han Solo","Captain of the Millennium Falcon who joins the Rebellion and marries Leia Organa.","norwegian"
"394","Jaina Solo","The daughter of Han Solo and Leia Organa Solo, and Jacen Solo's twin sister. Jedi Knight.","czech-iso8859_2"
"395","Leia Organa Solo","See ""Princess Leia Organa"" under #O.","slovenian-iso8859_2"
"396","Thrackan Sal-Solo","Han Solo's cousin and an antagonist in the Corellian trilogy. He is also prominent Legacy of the Force series, where he is killed.","indonesian"
"397","Uta S'orn","Senator who represented the planet Belasco in the Galactic Senate. In the novel Jedi Apprentice: The Dangerous Rescue, she secretly worked with her friend Jenna Zan Arbor to poison Belasco's water supply; the Jedi Order foils this plot and she is sent to a prison planet.","catalan"
"398","Starkiller / Galen Marek","The former apprentice of Darth Vader in Star Wars: The Force Unleashed. Also the name of Marek's clone, who serves as the main playable character in Star Wars: The Force Unleashed II.","danish"
"399","Maarek Stele","An Imperial starfighter ace.","middle_frisian"
"400","Captain Ozzik Sturn","Commander of the Imperial forces on Kashyyyk in Star Wars: The Force Unleashed. Kidnaps Princess Leia Organa in an attempt to prevent her father from causing rebellion against the Empire.","basque"
"401","Lama Su","Prime Minister of Kamino in Attack of the Clones.","swahili"
"402","Sugi","A female Zabrak bounty hunter with a high sense of honor. She is a leader figure to other bounty hunters and is a friend of the Jedi.","icelandic"
"403","Nomi Sunrider","A Jedi in several Dark Horse Comics Old Republic-era series.","danish"
"404","Meetra Surik","The Jedi exile that ended the Mandalorian Wars by activating the Mass Shadow on Malachor V during Star Wars: Knights of the Old Republic II: The Sith Lords. She also defeated the Sith Triumvirate.","middle_frisian"
"405","Gavyn Sykes","A lieutenant in the Royal Naboo Security Force during the Invasion of Naboo. Partnered with R2-C4 to knock out the Droid Control Ship's Shield Generator in The Phantom Menace, allowing young Anakin Skywalker to destroy the ship from within.","middle_frisian"
"406","Cham Syndulla","Twi'lek freedom fighter who opposed the CIS independently, but later allied with the Republic Army after the CIS invaded Ryloth.","catalan"
"407","Hera Syndulla","She is a Twi'lek female, who owns and pilots the Ghost (a ship used in Star Wars Rebels for fighting the Empire). She is the mother-figure of the rebel crew, she holds the group together when they would otherwise fall apart. She is also said to be the daughter of Cham Syndulla a Twi'lek freedom fighter on Ryloth during the Clone Wars period.","italian"
"408","Orn Free Taa","A corpulent Twi'lek who represents Ryloth in the Galactic Senate during the Prequel Trilogy. Appears in all three films in the Prequel Trilogy, as well as several episodes of The Clone Wars.","manx"
"409","Siri Tachi","Jedi Knight who served as Padawan to Adi Gallia and later became Master to Ferus Olin. She was also a love interest of Obi-Wan Kenobi. She was also a very talented pilot.","irish"
"410","General Cassio Tagge","Imperial officer aboard the Death Star in A New Hope.","catalan"
"411","Tahl","First Jedi Master of Bant Eerin and a librarian of the Jedi Archives. Love interest of Qui-Gon Jinn.","scots_gaelic"
"412","Darth Talon","Twi'lek Sith Lady who served Darth Krayt as one of his two Hands, or enforcers. She also briefly served as Cade Skywalker's Sith Master before Cade renounced the One Sith.","irish"
"413","Mother Talzin","The Dathomirian leader of the Nightsister clans of witches before and during the Clone Wars. It appears she and Count Dooku were on good terms priorly; he refers to her as ""sister"" or by her title. She possesses great magical powers, being able to do almost anything; ranging from mind control, manipulating matter, and turning into mist. Following Grievous' attack on Dathomir, she is the only Nightsister left aside from Ventress.","scots"
"414","Wat Tambor","Skakoan Foreman of the Techno Union and Executive of Baktoid Armor Workshop before and during The Clone Wars. He serves on the Separatist Council during the Clone Wars and helps fund and supply the Confederacy of Independent Systems.","scots"
"415","Riff Tamson","Riff Tamson is a shark-like Separatist leader, known for his ferocity and brilliant mind. He led the forces at the Battle of Mon Calamari. Killed by a bomb.","english"
"416","Sev'rance Tann","One of Count Dooku's dark acolytes who also became a general in the Separatist Droid Army. Was killed only a month after the beginning of the war.","scots_gaelic"
"417","Ahsoka Tano","Anakin Skywalker's Togruta Jedi Padawan. Over time she developed greater skills and techniques and became a trusted leader which was proven after she refused to leave hope and returned to the Jedi Temple with other kidnapped Padawans after being kidnapped by Trandoshan slavers. Nearing the end of Season 5 she was framed of bombing the Jedi Temple and killing the suspect in question in rage by her friend Barriss Offee. After proven innocent, she was asked by her master Anakin Skywalker and the other Jedi to return and that they apologize; Ahsoka, to their shock, refused. When asked by Anakin why she was doing this, she replied that the council didn't trust her, and asked him how could she trust herself. Additionally, she also said that she needed to find her own path without the order and without her master. She left Anakin in tears. She is also revealed to be the mysterious ""Fulcrum"" in Star Wars Rebels.","slovenian-iso8859_2"
"418","Tarfful","Wookiee chieftain who, along with Chewbacca, commanded the Wookiee warriors during the Battle of Kashyyyk, and later helped Yoda escape the clone troopers after Order 66 is given in Revenge of the Sith.","romanian"
"419","Grand Moff Wilhuff Tarkin","The Imperial governor of the Outer Rim territories, and the commanding officer of the Death Star in A New Hope.","german"
"420","Baron Merillion Tarko","Imperial Moff who controls the Empire's operations on the planet Cato Neimoidia in Star Wars: The Force Unleashed II.","finnish"
"421","Captain Roos Tarpals","Gungan captain in The Phantom Menace. He later becomes a general by the time of the Clone Wars and dies trying to capture General Grievous.","catalan"
"422","TC-14","A protocol droid who appears in the beginning of Star Wars Episode I: The Phantom Menace.","scots_gaelic"
"423","Teebo","Leader of the group of Ewoks that captured Luke Skywalker, Han Solo, Chewbacca and the droids; later the one whom R2-D2 electrocutes upon being freed. Has a more prominent role in the novelization.","scots"
"424","Booster Terrik","Smuggler who becomes Corran Horn's father-in-law in the X-Wing series and helps protect Jedi children in the New Jedi Order series.","middle_frisian"
"425","Mirax Terrik","Smuggler who becomes Corran Horn's wife in the X-Wing series.","basque"
"426","Mod Terrik","Imperial stormtrooper captain who was shot in the back by subordinate fellow stormtrooper Davin Felth while attempting to kill or capture Han Solo and his human and droid cargo.","middle_frisian"
"427","Tessek","Also known as ""Squid Head"", Jabba the Hutt's accountant in Return of the Jedi.","hungarian"
"428","Bria Tharen","Woman whom Han Solo rescues from slavery in The Han Solo Trilogy. Later joins the Rebel Alliance and helps the Rebels secure the plans to the first Death Star. After being captured by the Empire, Tharen commits suicide rather than risk betraying the Rebellion during interrogation.","basque"
"429","Lieutenant Thire","He is seen with master Yoda. He is Commander of the Clone Shock Troopers. He was seen in Revenge of the Sith, where he told Palpatine that they did not find Yoda's body on the Senate chamber's floor.","french"
"430","Grand Moff Thistleborn","He was a loyal member of the Central Committee of Grand Moffs. He was first featured in the novel The Glove of Darth Vader.","english"
"431","Grand Admiral Thrawn","The antagonist in Timothy Zahn's Thrawn Trilogy.","english"
"432","Raynar Thul","Jedi whose personality is altered by joining with the Kiliks in the Dark Nest Crisis series.","manx"
"433","Shaak Ti","Jedi Master and member of The Jedi Council in Attack of the Clones and Revenge of the Sith who escaped The Great Jedi Purge. In a deleted scene from Star Wars Episode III: Revenge of the Sith, she is killed by General Grievous, though this is officially regarded as non-canon. She later appears in Star Wars: The Force Unleashed, and is killed by Starkiller/Galen Marek. Shaak Ti was chosen by Jesse Schedeen as 18th top Star Wars hero.","indonesian"
"434","Ace Tiberious","Best friend of Solace Olin. One of the last surviving Jedi. One of the only Padawans of Yoda. Helped create the training facility on Dantooine. Faked his death.","english"
"435","Tibor","A Barabel bounty hunter who assists Zorba the Hutt. First appears in Zorba the Hutt's Revenge.","scots"
"436","Major Grodin Tierce","In Timothy Zahn's The Hand of Thrawn series, Tierce is the clone of a stormtrooper of the same name. Thrawn, who created the clone as part of an experiment, added some of his own military genius to the clone's mind.","middle_frisian"
"437","Rufaan Tigellinus","Imperial Grand Admiral and Grand Moff known for his political savvy and charisma. Following Palpatine's death at the Battle of Endor, he attempted to join the Central Committee of Grand Moffs, but changed his mind and was executed under charges of treason.","finnish"
"438","Saesee Tiin","Jedi Master and member of the Jedi High Council in the prequel trilogy and Clone Wars TV series. He was one of the four Jedi Masters who died trying to arrest Palpatine. He used a green lightsaber.","finnish"
"439","Tikkes","Separatist Council member and Senator of the CIS-allied Quarren Isolation League on Mon Calamari. Killed by Darth Vader on Mustafar.","norwegian"
"440","Meena Tills","Senator of Calamari Sector in Revenge of the Sith and the Clone Wars television series.","catalan"
"441","Tiplar","Jedi who was killed in the Battle of Ringo Vinda by Tup twin sister of Tiplee","irish"
"442","Tiplee","Jedi who fought in the Battle of Ringo Vinda twin sister of Tiplar","english"
"443","Wag Too","A Lurmen healer and the son of village leader, Tee Watt Kaa. He was more grateful than his father when Ahsoka, Aayla and Anakin returned to protect their village, and was willing to enter combat to defend his home from the Separatists.","irish"
"444","Darth Traya","One of the three concurrent Dark Lords of the Sith in Knights of the Old Republic. She was formerly known as Kreia and was once a Jedi Master.","indonesian"
"445","Coleman Trebor","Vurk Jedi Master who participated in the Battle of Geonosis. Killed by Jango Fett while attempting to kill Count Dooku.","catalan"
"446","Si Treemba","One of Obi-Wan's Arconan friends.","indonesian"
"447","Antinnis Tremayne","Dark Jedi Apprentice of Darth Vader; prominent member of the Inquisitorius.","latin"
"448","Admiral Trench","Harch Admiral of the Separatist Navy who commanded the blockade of the planet Christophsis. He supposedly died in the episode 'Cat and Mouse' but was seen in a sneak clip for the upcoming episodes with an almost full metallic body he gained after nearly dying in Cat and Mouse","english"
"449","Triclops","Created from extracting the DNA from Palpatine and inserted into a woman named Niobi. He was born mutated with a third eye in the back of his head. Thought to be more powerful than his father, he was sent to exile. Later found by Luke Skywalker and joined the Alliance. First appears in Mission from Mount Yoda.","english"
"450","Trioculus","The self-proclaimed son of Palpatine and the ruler of half of the Empire. First appears in The Glove of Darth Vader.","latin"
"451","Longo Two-Guns","Crime lord who was a rival to Jabba the Hutt. He was recognized as the ""fastest blaster on Tatooine"".","german"
"452","Tup","Clone trooper who fought with the 501st Legion in the Battle of Umbara and the Battle of Ringo Vinda. during that battle is has a malfunction in his inhibitor chip and kills Jedi Tiplar. He is then taken to examination on Kamino and dies in the process.","lithuanian"
"453","Captain Gregar Typho","Amidala's bodyguard in Attack of the Clones and Revenge of the Sith.","scots_gaelic"
"454","Darth Tyranus","See ""Count Dooku"" under #D.","irish"
"455","Luminara Unduli","Mirialan female humanoid Jedi Master in Attack of the Clones and Revenge of the Sith, having Barriss Offee as a Padawan. She is killed as a result of Order 66. Unduli is a playable character in Lego Star Wars: The Video Game and the video game version of The Clone Wars.","romanian"
"456","Odan-Urr","Draethos male Jedi Librarian who commissioned the The Great Library of Ossus following the Great Hyperspace War, a massive library and training ground erected by the Jedi Order on the planet Ossus. Apprentice to the Celegian Jedi Master Ooroo, Odan-Urr studied history, ancient Jedi techniques, and the lore of the Jedi Order. Odan-Urr was particularly interested in the history of the Sith. Master Ooroo permitted him to study the lore of the Sith because he believed Odan-Urr would never stray from the Light Side of The Force. Odan-Urr became a Jedi Master four centuries after Ooroo's death and served the Jedi for another six centuries. During this time, Odan-Urr studied the Jedi Code in depth. He believed that the only way to truly master The Force was to first fully understand the Jedi Code. As such, he revised the Jedi Code so that it may serve as the avenue for true mastery of The Force.","malay"
"457","Darth Vader","The alter-ego of Anakin Skywalker after his fall to the dark side.","german"
"458","Finis Valorum","The final legitimate Supreme Chancellor of the Galactic Republic, he was ousted from office in The Phantom Menace, allowing Palpatine to rise to power. Finis valorum is Late Latin for ""the end of worthy deeds"", referring to the fact that he was the last true Supreme Chancellor.","latin"
"459","Shado Vao","Padawan of Jedi Council member Kol Skywalker at the time of the Sith's massacre of the Jedi on Ossus in the Star Wars: Legacy comics.","portuguese"
"460","Walon Vau","Mandalorian mercenary who was hired to train clone commandos on Kamino. He was violent with his commandos. Delta Squad is one of Vau's squads. Featured prominently in the Republic Commando book series.","french"
"461","Nahdar Vebb","A male Mon Calamari who served as the Padawan of Jedi Master Kit Fisto during the Clone Wars. Vebb was killed by the infamous General Grievous.","malay"
"462","Morlish Veed","Grand Moff and Grand Admiral who acted as Lord Regent of Darth Krayt's Sith Empire. He served as Krayt's military commander and one of his best servants.","manx"
"463","General Maximilian Veers","Officer who led the Empire's attack on Hoth in The Empire Strikes Back. He is also the creator of the AT-AT (All Terrain Armored Transport) walker.","catalan"
"464","Tahiri Veila","Anakin Solo's best friend and briefly Darth Caedus' apprentice. Brought back to the light by Ben Skywalker. She was raised by Tusken Raiders, after they killed her parents.","tagalog"
"465","Ailyn Vel","Boba Fett's daughter, appears in Bloodlines. Designs to kill her father, Boba Fett, as she believes he abandoned both her mother and she when she is captured by Jacen Solo's Galactic Army Guard. She dies under interrogation by Jacen, further pushing him towards the Dark Side of the Force and his ultimate rebirth as Darth Caedus.","welsh"
"466","Sintas Vel","Boba Fett's wife, mentioned in Bloodlines. Appears in Revelation","esperanto"
"467","Asajj Ventress","Antagonist in the Clone Wars and The Clone Wars series. She is a Sith but returned to a cult called the Night Sisters of which she was formerly a member. She abandoned the Dark Side and her Sith ways. Count Dooku then sent a squad to wipe out the rest of her ""sisters"" via a droid company led by General Grievous. She then returned to bounty hunting, but still retains her two red lightsabers as weapons. She hunted Savage Opress and in the process ended up helping Obi-Wan Kenobi escape from him. Bariss Offee later stole her lightsabers and mask, using them to pose as Ventress while framing Ahsoka for the bombings. Despite not having her lightsabers, Ventress can still put up a good fight with substitute weapons and the same fighting style.","catalan"
"468","Vergere","Jedi who lives among the Yuuzhan Vong and offers Jacen Solo insight into their culture and connection to the Force.","danish"
"469","Vette","The first (romanceable) companion of the Sith Warrior class in the MMORPG video game Star Wars: The Old Republic (abbreviated as SWTOR or TOR by fans).","middle_frisian"
"470","Vima-Da-Boda","Fallen Old Republic Jedi introduced in Dark Empire. Regains her connection to the Force after aiding Leia Organa Solo in Dark Empire II and Empire's End./* V */","serbian-ascii"
"471","Dr. Nuvo Vindi","Faust scientist who worked with the CIS during the Clone Wars. He developed the deadly Blue Shadow Virus.","slovenian-iso8859_2"
"472","Darth Vitiate","Sith Lord who reconstituted the Sith Empire after its destruction in the Great Hyperspace War and went on to rule it for over 1300 years. He is more commonly known simply as the Sith Emperor.","german"
"473","Pre Vizsla","Governor of Concordia, a moon of Mandalore, and leader of the Death Watch during the Clone Wars. He aligned with Count Dooku and the CIS in order to overthrow the pacifist New Mandalorian government of Duchess Satine Kryze, and worked with Darth Maul and Savage Opress to overthrow her. He was later killed by Maul when Maul took over Mandalore.","serbian-ascii"
"474","Quinlan Vos","Jedi who began his training at an older age than most initiates. Featured in the Star Wars: Republic comic series. The character's design was based on a background character in the Mos Espa podrace scene in The Phantom Menace. He later has a padawan named Aayla Secura. Jesse Schedeen listed Vos as the 7th top Star Wars hero, praising his struggle with his inner darkness. Afterword, Vos (Al Rodrigo) returns in The Clone Wars to team with Obi-Wan Kenobi to capture Cad Bane and Ziro The Hutt.","catalan"
"475","Komari Vosa","Dark Jedi and leader of the Bando Gora cult. She is the main antagonist of Star Wars: Bounty Hunter. After Jango Fett kills her, Count Dooku keeps her lightsabers and later gives them to Asajj Ventress.","slovak-windows1250"
"476","WAC-47","An over-excitable pit droid that is assigned to a special Republic group of droids to steal an encryption module from the Separatists.","polish"
"477","Wald","Rodian slave boy under the ownership of Watto and friends with Anakin Skywalker.","middle_frisian"
"478","Warlug","Gamorrean Guard from Return of the Jedi.","icelandic"
"479","Warok","Ewok from Return of the Jedi.","slovak-ascii"
"480","Wicket W. Warrick","Ewok who helps Princess Leia and the other Rebels in Return of the Jedi, and who also appears in the Star Wars: Ewoks animated series and the TV movies Caravan of Courage and Battle For Endor. Wicket was chosen by IGN's Jesse Schedeen as the 17th top Star Wars hero.","breton"
"481","Watto","Toydarian junk store owner and slaveholder of Anakin and Shmi Skywalker in The Phantom Menace.","italian"
"482","Lieutenant Watts","AT-ST gunner from Return of the Jedi.","french"
"483","Taun We","Kaminoan administrator who guides Obi-Wan Kenobi during his visit to the cloning facility in Attack of the Clones. During filming, Owen wore on set a maquette of the alien's head atop a hardhat, providing her co-stars with the proper eye-line for talking with the character.","german"
"484","Zam Wesell","Shape-shifting bounty hunter who fails in her mission to kill Padmé Amidala and was killed by Jango Fett.","estonian"
"485","Beru Whitesun","Beru Lars' maiden name. See ""Beru Lars"" under #L","german"
"486","Jaesa Willsaam","Jedi Padawan who was later turned to the dark side and became the apprentice of the Sith Warrior in Star Wars: The Old Republic. She had a very rare and unique power, similar to Force sight, that allowed her to see the alignment and personality traits of other people.","middle_frisian"
"487","Mace Windu","A master who sits on the Jedi Council and one of the central protagonists of the Prequel Trilogy, as well as the main character in Shatterpoint. Windu is regarded as one of the best swordmen in Jedi history. He served as Master of the Order in the years leading up to the Clone Wars and was a renowned Jedi General. He is thrown out of a window, apparently to his death, and three other Jedi are killed by Darth Sidious during their failed attempt to arrest him in Revenge of the Sith'","french"
